cod_conta,Descricao_Conta,Tipo_Linha,Ordem_Exibicao,Fator_Sinal,id_nivel0,Nivel_0,id_nivel1,Nivel_1,id_nivel2,Nivel_2,Ranking
181,Vendas de Aves Industrializadas,Detalhe,100010181,1,1,RECEITA OPERACIONAL BRUTA,1,Vendas Mercado Interno,1,Vendas de Aves Industrializadas,3
184,Vendas de Aves para Abate,Detalhe,100010184,1,1,RECEITA OPERACIONAL BRUTA,1,Vendas Mercado Interno,2,Vendas de Aves para Abate,4
403,Revenda de Materia Prima,Detalhe,100010403,1,1,RECEITA OPERACIONAL BRUTA,1,Vendas Mercado Interno,3,Revenda de Materia Prima,5
978,Venda de Farinha e Oleo,Detalhe,100010978,1,1,RECEITA OPERACIONAL BRUTA,1,Vendas Mercado Interno,4,Venda de Farinha e Oleo,6
1021,Vendas de Sucatas,Detalhe,100011021,1,1,RECEITA OPERACIONAL BRUTA,1,Vendas Mercado Interno,5,Vendas de Sucatas,7
1062,Remessa Bonificacao,Detalhe,100011062,1,1,RECEITA OPERACIONAL BRUTA,1,Vendas Mercado Interno,6,Remessa Bonificacao,8
1080,Remessa Amostra Gratis,Detalhe,100011080,1,1,RECEITA OPERACIONAL BRUTA,1,Vendas Mercado Interno,7,Remessa Amostra Gratis,9
1288,Revenda de Mercadoria,Detalhe,100011288,1,1,RECEITA OPERACIONAL BRUTA,1,Vendas Mercado Interno,8,Revenda de Mercadoria,10
1490,Vendas Fabrica de Racoes,Detalhe,100011490,1,1,RECEITA OPERACIONAL BRUTA,1,Vendas Mercado Interno,9,Vendas Fabrica de Racoes,11
1562,Venda Pao de Queijo,Detalhe,100011562,1,1,RECEITA OPERACIONAL BRUTA,1,Vendas Mercado Interno,10,Venda Pao de Queijo,12
1563,Venda Pescado,Detalhe,100011563,1,1,RECEITA OPERACIONAL BRUTA,1,Vendas Mercado Interno,11,Venda Pescado,13
1575,Revenda de Aves Industrializadas,Detalhe,100011575,1,1,RECEITA OPERACIONAL BRUTA,1,Vendas Mercado Interno,12,Revenda de Aves Industrializadas,14
1589,Venda de Frango Vivo Integracao,Detalhe,100011589,1,1,RECEITA OPERACIONAL BRUTA,1,Vendas Mercado Interno,13,Venda de Frango Vivo Integracao,15
1640,Revenda de Mercadorias e Insumos,Detalhe,100011640,1,1,RECEITA OPERACIONAL BRUTA,1,Vendas Mercado Interno,14,Revenda de Mercadorias e Insumos,16
191,ICMS sobre Vendas,Detalhe,100040191,-1,2,DEDUCOES DA RECEITA BRUTA,2,Impostos sobre Vendas,15,ICMS sobre Vendas,17
192,PIS sobre Vendas,Detalhe,100040192,-1,2,DEDUCOES DA RECEITA BRUTA,2,Impostos sobre Vendas,16,PIS sobre Vendas,18
193,COFINS sobre Vendas,Detalhe,100040193,-1,2,DEDUCOES DA RECEITA BRUTA,2,Impostos sobre Vendas,17,COFINS sobre Vendas,19
1183,INSS Desoneracao,Detalhe,100041183,-1,2,DEDUCOES DA RECEITA BRUTA,2,Impostos sobre Vendas,18,INSS Desoneracao,20
1366,ISSQN,Detalhe,100041366,-1,2,DEDUCOES DA RECEITA BRUTA,2,Impostos sobre Vendas,19,ISSQN,21
1643,ICMS sobre Revendas,Detalhe,100041643,-1,2,DEDUCOES DA RECEITA BRUTA,2,Impostos sobre Vendas,20,ICMS sobre Revendas,22
1644,PIS sobre Revendas,Detalhe,100041644,-1,2,DEDUCOES DA RECEITA BRUTA,2,Impostos sobre Vendas,21,PIS sobre Revendas,23
1645,COFINS sobre Revendas,Detalhe,100041645,-1,2,DEDUCOES DA RECEITA BRUTA,2,Impostos sobre Vendas,22,COFINS sobre Revendas,24
196,Descontos Sobre Vendas,Detalhe,100050196,-1,2,DEDUCOES DA RECEITA BRUTA,3,Descontos Concedidos sobreVendas,23,Descontos Sobre Vendas,25
1489,Desconto Incondicional sobre Vendas,Detalhe,100051489,-1,2,DEDUCOES DA RECEITA BRUTA,3,Descontos Concedidos sobreVendas,24,Desconto Incondicional sobre Vendas,26
195,Devolucao de Vendas,Detalhe,100060195,-1,2,DEDUCOES DA RECEITA BRUTA,4,Devolucoes de Vendas,25,Devolucao de Vendas,27
1570,Devolucao de Vendas de Pescado,Detalhe,100061570,-1,2,DEDUCOES DA RECEITA BRUTA,4,Devolucoes de Vendas,26,Devolucao de Vendas de Pescado,28
1573,Devolucao de Vendas de Pao de Queijo,Detalhe,100061570,-1,2,DEDUCOES DA RECEITA BRUTA,4,Devolucoes de Vendas,27,Devolucao de Vendas de Pao de Queijo,29
,(=)RECEITA OPERACIONAL LIQUIDA,Subtotal,10007,1,3,RECEITA OPERACIONAL LIQUIDA,,,,,30
201,CPV - Aves Industrializadas,Detalhe,100090201,-1,4,CUSTO PROD/MERC VENDIDOS,5,Custo das Vendas,28,CPV - Aves Industrializadas,31
202,Aves Para Abate,Detalhe,100090202,-1,4,CUSTO PROD/MERC VENDIDOS,5,Custo das Vendas,29,Aves Para Abate,32
204,CPV - Sub Produtos FFO,Detalhe,100090204,-1,4,CUSTO PROD/MERC VENDIDOS,5,Custo das Vendas,30,CPV - Sub Produtos FFO,33
1314,Pao de queijo,Detalhe,100091314,-1,4,CUSTO PROD/MERC VENDIDOS,5,Custo das Vendas,31,Pao de queijo,34
1337,Revenda de Produtos,Detalhe,100091337,-1,4,CUSTO PROD/MERC VENDIDOS,5,Custo das Vendas,32,Revenda de Produtos,35
1341,Revenda de insumos,Detalhe,100091341,-1,4,CUSTO PROD/MERC VENDIDOS,5,Custo das Vendas,33,Revenda de insumos,36
