Cod_Cont,Descricao_Conta,Fator_Sinal,Ranking,Tipo_Linha,id_nivel_0,Nivel_0,id_nivel_1,Nivel_1,id_nivel_2,Nivel_2,Ordem_Exibicao
131,Vendas de Produtos Fabricacao Propria,1,3,Detalhe,1,RECEITA OPERACIONAL BRUTA,1,Vendas Mercado Interno,1,Vendas de Produtos Fabricacao Propria,10002
135,Vendas de Sub-Produtos FFO,1,4,Detalhe,1,RECEITA OPERACIONAL BRUTA,1,Vendas Mercado Interno,2,Vendas de Sub-Produtos FFO,10003
184,Venda de Sucatas,1,5,Detalhe,1,RECEITA OPERACIONAL BRUTA,1,Vendas Mercado Interno,3,Venda de Sucatas,10004
1274,Revenda de Mercadorias e Insumos,1,6,Detalhe,1,RECEITA OPERACIONAL BRUTA,1,Vendas Mercado Interno,4,Revenda de Mercadorias e Insumos,10005
1413,Venda de Residuos Industriais,1,7,Detalhe,1,RECEITA OPERACIONAL BRUTA,1,Vendas Mercado Interno,5,Venda de Residuos Industriais,10006
1476,Venda Ativo Imobilizado,1,8,Detalhe,1,RECEITA OPERACIONAL BRUTA,1,Vendas Mercado Interno,6,Venda Ativo Imobilizado,10007
1606,Venda de Frango Vivo,1,9,Detalhe,1,RECEITA OPERACIONAL BRUTA,1,Vendas Mercado Interno,7,Venda de Frango Vivo,10008
1616,Receita Remessa em Doacao,1,10,Detalhe,1,RECEITA OPERACIONAL BRUTA,1,Vendas Mercado Interno,8,Receita Remessa em Doacao,10009
1666,Venda de Adubo Organico,1,11,Detalhe,1,RECEITA OPERACIONAL BRUTA,1,Vendas Mercado Interno,9,Venda de Adubo Organico,10010
1772,Venda de Quirela de Milho,1,12,Detalhe,1,RECEITA OPERACIONAL BRUTA,1,Vendas Mercado Interno,10,Venda de Quirela de Milho,10011
2247,Revenda de Produtos,1,13,Detalhe,1,RECEITA OPERACIONAL BRUTA,1,Vendas Mercado Interno,11,Revenda de Produtos,10012
397,ICMS ST sobre Vendas,-1,16,Detalhe,2,DEDUCOES DA RECEITA BRUTA,1,Impostos sobre Vendas,12,ICMS ST sobre Vendas,20002
1275,ICMS sobre Vendas,-1,17,Detalhe,2,DEDUCOES DA RECEITA BRUTA,1,Impostos sobre Vendas,13,ICMS sobre Vendas,20003
1276,Desoneracao da Folha,-1,18,Detalhe,2,DEDUCOES DA RECEITA BRUTA,1,Impostos sobre Vendas,14,Desoneracao da Folha,20004
1364,( - ) ICMS - Credito Presumido,-1,19,Detalhe,2,DEDUCOES DA RECEITA BRUTA,1,Impostos sobre Vendas,15,( - ) ICMS - Credito Presumido,20005
1423,PIS sobre Vendas,-1,20,Detalhe,2,DEDUCOES DA RECEITA BRUTA,1,Impostos sobre Vendas,16,PIS sobre Vendas,20006
1424,COFINS sobre Vendas,-1,21,Detalhe,2,DEDUCOES DA RECEITA BRUTA,1,Impostos sobre Vendas,17,COFINS sobre Vendas,20007
2248,ICMS sobre Revendas,-1,22,Detalhe,2,DEDUCOES DA RECEITA BRUTA,1,Impostos sobre Vendas,18,ICMS sobre Revendas,20008
2249,PIS sobre Revendas,-1,23,Detalhe,2,DEDUCOES DA RECEITA BRUTA,1,Impostos sobre Vendas,19,PIS sobre Revendas,20009
2250,COFINS sobre Revendas,-1,24,Detalhe,2,DEDUCOES DA RECEITA BRUTA,1,Impostos sobre Vendas,20,COFINS sobre Revendas,20010
288,Devolucoes de Vendas,-1,26,Detalhe,2,DEDUCOES DA RECEITA BRUTA,2,Devolucoes de Vendas,21,Devolucoes de Vendas,20012
1979,Descontos sobre Vendas,-1,27,Detalhe,2,DEDUCOES DA RECEITA BRUTA,2,Devolucoes de Vendas,22,Descontos sobre Vendas,20013
1980,Descontos Incondicionais sobre Vendas,-1,28,Detalhe,2,DEDUCOES DA RECEITA BRUTA,2,Devolucoes de Vendas,23,Descontos Incondicionais sobre Vendas,20014
2210,Devolucoes Frango Vivo,-1,29,Detalhe,2,DEDUCOES DA RECEITA BRUTA,2,Devolucoes de Vendas,24,Devolucoes Frango Vivo,20015
2251,Devoluçoes de Revendas,-1,30,Detalhe,2,DEDUCOES DA RECEITA BRUTA,2,Devolucoes de Vendas,25,Devoluçoes de Revendas,20016
,RECEITA OPERACIONAL LIQUIDA,1,31,Subtotal,3,RECEITA OPERACIONAL LIQUIDA,,,,,30000
1933,CPV - Aves Industrializadas,-1,34,Detalhe,4,CUSTO PROD/MERC VENDIDOS,1,Custo das Vendas,26,CPV - Aves Industrializadas,40002
1934,CPV - Aves para Abate,-1,35,Detalhe,4,CUSTO PROD/MERC VENDIDOS,1,Custo das Vendas,27,CPV - Aves para Abate,40003
1935,CPV - Revenda de Insumos,-1,36,Detalhe,4,CUSTO PROD/MERC VENDIDOS,1,Custo das Vendas,28,CPV - Revenda de Insumos,40004
1936,CPV - Sub Produtos de Abate,-1,37,Detalhe,4,CUSTO PROD/MERC VENDIDOS,1,Custo das Vendas,29,CPV - Sub Produtos de Abate,40005
2152,CMV - Revenda de Mercadorias e Insumos,-1,38,Detalhe,4,CUSTO PROD/MERC VENDIDOS,1,Custo das Vendas,30,CMV - Revenda de Mercadorias e Insumos,40006
2246,Ajuste CPV,-1,39,Detalhe,4,CUSTO PROD/MERC VENDIDOS,1,Custo das Vendas,31,Ajuste CPV,40007
2253,CMV - Revenda de Produtos,-1,40,Detalhe,4,CUSTO PROD/MERC VENDIDOS,1,Custo das Vendas,32,CMV - Revenda de Produtos,40008
820,Frango Vivo Compra,-1,42,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,33,Frango Vivo Compra,40010
821,Gas,-1,43,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,34,Gas,40011
822,Lenha,-1,44,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,35,Lenha,40012
824,Material de Embalagem,-1,45,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,36,Material de Embalagem,40013
826,Materia Prima,-1,46,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,37,Materia Prima,40014
832,Mercadoria Sinistrada,-1,47,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,38,Mercadoria Sinistrada,40015
834,Ingredientes para Industrializacao,-1,48,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,39,Ingredientes para Industrializacao,40016
837,Salarios,-1,49,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,40,Salarios,40017
838,Ferias,-1,50,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,41,Ferias,40018
839,13° Salario,-1,51,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,42,13° Salario,40019
840,Indenizacoes Trabalhistas,-1,52,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,43,Indenizacoes Trabalhistas,40020
845,Rescisao Contratual,-1,53,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,44,Rescisao Contratual,40021
847,Pensao Alimenticia,-1,54,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,45,Pensao Alimenticia,40022
870,INSS,-1,55,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,46,INSS,40023
871,FGTS,-1,56,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,47,FGTS,40024
874,Contribuicao Sindical,-1,57,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,48,Contribuicao Sindical,40025
887,Manutencoes e Reparacoes,-1,58,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,49,Manutencoes e Reparacoes,40026
889,Suporte Tecnico Informatica,-1,59,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,50,Suporte Tecnico Informatica,40027
893,Servico Carga e Descarga,-1,60,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,51,Servico Carga e Descarga,40028
912,Manutencao Mecanica,-1,61,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,52,Manutencao Mecanica,40029
913,Manutencao e Conservacao de Benfeitorias,-1,62,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,53,Manutencao e Conservacao de Benfeitorias,40030
914,Manutencoes Graxaria,-1,63,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,54,Manutencoes Graxaria,40031
915,Combustiveis e Lubrificantes de Maquinas,-1,64,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,55,Combustiveis e Lubrificantes de Maquinas,40032
917,Manutencao Eletrica,-1,65,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,56,Manutencao Eletrica,40033
918,Manutencao Civil,-1,66,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,57,Manutencao Civil,40034
919,Manutencao Sala de Maquinas,-1,67,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,58,Manutencao Sala de Maquinas,40035
920,Manutencao Civil,-1,68,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,59,Manutencao Civil,40036
921,Manutencao ETE,-1,69,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,60,Manutencao ETE,40037
922,Manutencao Caldeira,-1,70,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,61,Manutencao Caldeira,40038
923,Manutencao ETA,-1,71,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,62,Manutencao ETA,40039
924,Manutencao da Estrutura e Equipamentos,-1,72,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,63,Manutencao da Estrutura e Equipamentos,40040
951,Depreciacoes,-1,73,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,64,Depreciacoes,40041
957,Energia Eletrica,-1,74,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,65,Energia Eletrica,40042
959,"Comunicacoes (Telefone, Correio e Internet)",-1,75,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,66,"Comunicacoes (Telefone, Correio e Internet)",40043
960,Agua e Saneamento,-1,76,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,67,Agua e Saneamento,40044
969,Despesas Indedutiveis,-1,77,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,68,Despesas Indedutiveis,40045
972,Impostos e Taxas,-1,78,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,69,Impostos e Taxas,40046
973,ICMS,-1,79,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,70,ICMS,40047
974,Contribuicao Sindical,-1,80,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,71,Contribuicao Sindical,40048
975,Multas e Juros,-1,81,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,72,Multas e Juros,40049
977,Taxa de Incendio,-1,82,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,73,Taxa de Incendio,40050
979,Funrural,-1,83,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,74,Funrural,40051
982,IRPJ,-1,84,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,75,IRPJ,40052
983,Contribuicao Social sobre Lucro,-1,85,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,76,Contribuicao Social sobre Lucro,40053
984,ITR,-1,86,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,77,ITR,40054
987,Imposto de Renda,-1,87,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,78,Imposto de Renda,40055
1026,Combustiveis e Lubrificantes,-1,88,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,79,Combustiveis e Lubrificantes,40056
1027,Manutencao de Veiculos,-1,89,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,80,Manutencao de Veiculos,40057
1028,Pneus e Camaras,-1,90,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,81,Pneus e Camaras,40058
1029,Seguro de Veiculos,-1,91,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,82,Seguro de Veiculos,40059
1030,"IPVA, Seguro Obrigatorio e Licenciamento",-1,92,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,83,"IPVA, Seguro Obrigatorio e Licenciamento",40060
1031,Multas de Transito,-1,93,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,84,Multas de Transito,40061
1032,Pedagios,-1,94,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,85,Pedagios,40062
1036,Despesas c/Locacao de Veiculos,-1,95,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,86,Despesas c/Locacao de Veiculos,40063
1037,Pesagem de Insumos,-1,96,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,87,Pesagem de Insumos,40064
1062,Aluguel de Veiculos,-1,97,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,88,Aluguel de Veiculos,40065
1063,Alugueis e Locacoes,-1,98,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,89,Alugueis e Locacoes,40066
1064,Refeicao,-1,99,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,90,Refeicao,40067
1065,Doacoes e Brindes,-1,100,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,91,Doacoes e Brindes,40068
1066,Seguros,-1,101,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,92,Seguros,40069
1067,Correios e Malotes,-1,102,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,93,Correios e Malotes,40070
1068,"Jornais, Revistas e Periodicos",-1,103,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,94,"Jornais, Revistas e Periodicos",40071
1069,Despesas com Analises,-1,104,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,95,Despesas com Analises,40072
1070,Material de Seguranca,-1,105,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,96,Material de Seguranca,40073
1071,Bens de Consumo Duraveis,-1,106,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,97,Bens de Consumo Duraveis,40074
1072,Material de Escritorio,-1,107,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,98,Material de Escritorio,40075
1073,Fretes e Carretos,-1,108,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,99,Fretes e Carretos,40076
1074,Material de Consumo,-1,109,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,100,Material de Consumo,40077
1075,Fretes de Frango Vivo,-1,110,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,101,Fretes de Frango Vivo,40078
1076,Arrendamento Mercantil Leasing,-1,111,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,102,Arrendamento Mercantil Leasing,40079
1077,Farmacia,-1,112,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,103,Farmacia,40080
1078,Propaganda e Publicidade,-1,113,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,104,Propaganda e Publicidade,40081
1079,"Despesas c/ Viagens, Estadias e Refeicoes",-1,114,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,105,"Despesas c/ Viagens, Estadias e Refeicoes",40082
1081,Mensalidades e Anuidades,-1,115,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,106,Mensalidades e Anuidades,40083
1082,Despesas com Transporte de Pessoal,-1,116,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,107,Despesas com Transporte de Pessoal,40084
1083,Material de Expediente,-1,117,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,108,Material de Expediente,40085
1086,Despesas com Cartorio,-1,118,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,109,Despesas com Cartorio,40086
1088,Treinamentos e Cursos,-1,119,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,110,Treinamentos e Cursos,40087
1089,Lanches,-1,120,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,111,Lanches,40088
1090,Despesas com Eventos e Feiras,-1,121,Detalhe,4,CUSTO PROD/MERC VENDIDOS,2,Custo Geral de Produçao,112,Despesas com Eventos e Feiras,40089
