Conta;DRE1;C5;mar/25;abr/25;mai/25;jun/25;jul/25;ago/25;set/25;out/25;nov/25;dez/25;jan/25;fev/25
181;Receita Bruta de Vendas;181 - Vendas de Aves Industrializadas; 13.619.831,09 ; 16.431.862,44 ; 17.673.972,23 ; 20.178.405,21 ; 23.407.656,33 ; 21.408.331,65 ; 23.513.945,14 ; 25.414.795,51 ; 22.419.859,01 ; 22.165.945,99 ; 15.518.046,01 ; 15.021.122,80 
184;Receita Bruta de Vendas;184 - Vendas de Aves para Abate; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
191;Impostos sobre vendas;191 - ICMS s/ Vendas;-31.216,91 ;-35.932,95 ;-39.732,52 ;-44.869,39 ;-54.542,73 ;-48.910,36 ;-56.870,82 ;-61.885,95 ;-51.953,49 ;-49.334,59 ;-28.931,11 ;-28.184,66 
192;Impostos sobre vendas;192 - PIS s/ Vendas;-2.993,72 ;-3.498,88 ;-4.280,31 ;-5.174,86 ;-6.597,00 ;-5.672,85 ;-7.360,24 ;-8.196,64 ;-6.510,06 ;-5.735,79 ;-3.967,25 ;-3.182,36 
193;Impostos sobre vendas;193 - COFINS s/ Vendas;-13.789,26 ;-16.116,07 ;-19.715,39 ;-23.835,75 ;-30.386,17 ;-26.129,50 ;-33.901,70 ;-37.754,22 ;-29.985,74 ;-26.419,38 ;-18.272,94 ;-14.657,67 
195;Deduções de vendas;195 - Devolucao de Vendas;-108.093,89 ;-81.750,56 ;-87.930,21 ;-100.390,07 ;-116.456,00 ;-106.509,12 ;-116.984,81 ;-126.441,77 ;-111.541,59 ;-110.278,34 ;-685.099,10 ;-611.818,47 
196;Deduções de vendas;196 - Descontos Sobre Vendas;-132.584,78 ;-159.607,97 ;-171.886,90 ;-196.146,17 ;-228.028,62 ;-208.359,68 ;-229.474,84 ;-248.107,90 ;-218.349,09 ;-215.475,26 ;-129.193,34 ;-106.202,38 
201;Custos variáveis;201 - Aves Industrializadas;-10.954.462,97 ;-13.169.699,55 ;-13.779.472,34 ;-15.615.975,18 ;-18.035.095,54 ;-16.053.160,02 ;-17.633.769,45 ;-18.282.256,55 ;-15.723.292,81 ;-15.695.125,62 ;-12.050.201,47 ;-11.511.850,42 
202;Custos variáveis;202 - Aves Para Abate; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
204;Custos variáveis;204 - Sub Produtos FFO; -   ;  ;  ;  ;  ;  ;  ;  ;  ;  ;-56.861,53 ;-19.036,22 
209;Custos variáveis;209 - Racoes; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-4.538.680,67 ;-3.749.957,62 
