Conta;Classificação;C5;01/03/2025;01/04/2025;01/05/2025;01/06/2025;01/07/2025;01/08/2025;01/09/2025;01/10/2025;01/11/2025;01/12/2025;01/01/2025;01/02/2025
131;Receita Bruta de Vendas;131 - Vendas de Produtos Fabricacao Propria; 19.830.132 ; 20.853.511 ; 22.434.496 ; 21.630.590 ; 24.974.565 ; 22.894.791 ; 25.129.387 ; 26.847.986 ; 24.396.820 ; 22.334.391 ; 16.739.601 ; 17.063.851 
135;Receita Bruta de Vendas;135 - Vendas de Sub-Produtos FFO; 699.822 ; 724.430 ; 721.503 ; 659.910 ; 774.538 ; 745.019 ; 839.774 ; 931.673 ; 794.667 ; 738.525 ; 767.960 ; 752.947 
184;Receita Bruta de Vendas;184 - Venda de Sucatas; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
288;Deduções de vendas;288 - Devolucoes de Vendas;-98.657 ;-103.749 ;-111.614 ;-107.615 ;-124.252 ;-113.904 ;-125.022 ;-133.572 ;-121.377 ;-111.116 ;-281.583 ;-362.775 
870;Custos fixos;870 - INSS;-114.894 ;-232.778 ;-253.102 ;-243.506 ;-274.269 ;-261.969 ;-272.165 ;-288.013 ;-276.068 ;-111.233 ;-144.407 ;-132.941 
875;Despesas Administrativas fixas;875 - INSS;-15.866 ;-29.814 ;-32.717 ;-31.347 ;-35.741 ;-33.984 ;-35.441 ;-37.705 ;-35.998 ;-32.777 ;-23.810 ;-16.942 
1274;Receita Bruta de Vendas;1274 - Venda de Produtos para Revenda; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 362.972 ; 484.034 
1413;Receita Bruta de Vendas;1413 - Venda de Residuos Industriais; 22.403 ; 23.444 ; 24.560 ; 23.444 ; 26.793 ; 24.560 ; 25.676 ; 26.381 ; 23.655 ; 21.984 ; 16.295 ; 21.841 
1414;Despesas Comerciais / Logistica / Expedição variáveis;1414 - Perda no Recebimento de Credito; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1606;Receita Bruta de Vendas;1606 - Venda de Frango Vivo; 621.292 ; 851.064 ; 2.899.291 ; 1.989.638 ; 4.138.972 ; 4.022.388 ; 3.608.537 ; 4.719.865 ; 5.038.007 ; 3.073.629 ; 1.879.131 ; 988.004 
1616;Receita Bruta de Vendas;1616 - Receita Remessa em Doacao; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1666;Receita Bruta de Vendas;1666 - Venda de Adubo Organico; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1772;Receita Bruta de Vendas;1772 - Venda de Quirela de Milho; 11.443 ; 11.974 ; 12.544 ; 11.974 ; 13.685 ; 12.544 ; 13.114 ; 13.474 ; 12.082 ; 11.228 ; 9.015 ; 17.987 
1913;Custos variáveis;1913 - Ajuste Inventario; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-72.379 ;-24.093 
1979;Deduções de vendas;1979 - Descontos s/ Vendas; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1980;Deduções de vendas;1980 - Descontos Incondicionais s/ Vendas; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
